  (-138.058697600269568,79.076463083306109)    (109.819796585171019,10.057874643597536)   (308.672219956615095,-45.837927997343947)     (212.509963276036558,0.000000000000000)   (-29.205795120974180,120.837379142845847)    (-28.149365961101598,-0.605641627161349)   (78.589807856882473,-149.245939255629736)
  (501.049723994709439,211.797522136445934)    (160.307406334866698,39.024545036555153)   (425.975765120396147,-26.131996419363617)  (-29.205795120974180,-120.837379142845847)    (-390.995171646624328,0.000000000000000)  (-108.848783683196359,183.557656805557599) (-258.671746966605838,-111.357423139980426)
   (46.584921912065013,171.688562852439247)      (0.151611427542884,52.561543984390099)    (-93.284000293205352,85.176565344342521)     (-28.149365961101598,0.605641627161349) (-108.848783683196359,-183.557656805557599)    (-233.424078694138132,0.000000000000000)     (15.827537101288318,48.868918110904474)
 (-122.625883032384863,105.530496087686274)      (49.481001430126469,3.218552974955061)    (494.162309835659357,87.618931331186687)    (78.589807856882473,149.245939255629736)  (-258.671746966605838,111.357423139980426)    (15.827537101288318,-48.868918110904474)     (250.657707170274421,0.000000000000000)
    (130.067931747547163,0.000000000000000)    (66.585667801156660,-22.560437331196042)  (-50.499750421703880,-623.747926801872609)    (41.341757234560589,157.400302835448741)    (76.833570139202521,273.222203053734120)   (136.578145069668295,-82.880261449919928) (-326.836065622099113,-248.282083633380068)
    (66.585667801156660,22.560437331196042)    (-161.163716917902690,0.000000000000000)    (95.734902284966793,202.389582509150671)    (-83.699982310293848,28.489521256543856)  (-90.879375649973085,-154.486218947664554)   (-89.933252299886036,-71.365179654834918)    (71.398578678588422,-93.999745478416912)
  (-50.499750421703880,623.747926801872609)   (95.734902284966793,-202.389582509150671)     (350.004207162430873,0.000000000000000)  (126.674879893384983,-327.052391590758930)   (85.224322670121680,-173.998072755014249)     (-56.506308294420791,0.778634134049122) (-210.476076411753382,-343.768011044485092)
  (41.341757234560589,-157.400302835448741)   (-83.699982310293848,-28.489521256543856)   (126.674879893384983,327.052391590758930)     (-93.355572391677995,0.000000000000000) (-192.638244962485999,-120.746416000680227)   (-83.145498568626266,108.147167341984371)    (26.196354611431310,135.556005948277743)
  (76.833570139202521,-273.222203053734120)   (-90.879375649973085,154.486218947664554)    (85.224322670121680,173.998072755014249)  (-192.638244962485999,120.746416000680227)    (-259.424786404140093,0.000000000000000)  (-109.911470016251940,189.402326301535453)   (273.121747024700085,410.270881189279010)
   (136.578145069668295,82.880261449919928)    (-89.933252299886036,71.365179654834918)    (-56.506308294420791,-0.778634134049122)  (-83.145498568626266,-108.147167341984371) (-109.911470016251940,-189.402326301535453)    (-207.617126950181387,0.000000000000000)   (-60.121812120454251,119.542287063287844)
 (-326.836065622099113,248.282083633380068)     (71.398578678588422,93.999745478416912)  (-210.476076411753382,343.768011044485092)   (26.196354611431310,-135.556005948277743)  (273.121747024700085,-410.270881189279010)  (-60.121812120454251,-119.542287063287844)     (241.489063753924142,0.000000000000000)
    (259.837639586718467,0.000000000000000)  (-172.209175411166882,-49.676631368389927)    (283.752096438412252,59.267992139297249)  (-80.019469858620639,-183.728795818568159) (-115.356640843088485,-306.662459966264350)   (-96.624542510458127,152.123011820678869) (-135.777681770743158,-285.851545329043347)
  (-172.209175411166882,49.676631368389927)      (13.551590714607251,0.000000000000000)   (-82.348182327345199,144.476174535779649)    (52.211408148769600,-95.767146072006838)    (116.797668995468854,15.073792683018313)   (-16.418397000173915,-60.989605495456480)   (-50.927813346751456,119.451345360279831)
  (283.752096438412252,-59.267992139297249)  (-82.348182327345199,-144.476174535779649)    (-155.232103810216699,0.000000000000000)    (-27.195115320598610,16.056151227853498)  (-80.836398667743595,-201.030325429595365)   (-233.686933405689189,29.572469118915652)   (-224.896565742213596,31.040831741373317)
  (-80.019469858620639,183.728795818568159)     (52.211408148769600,95.767146072006838)   (-27.195115320598610,-16.056151227853498)      (-0.913477840685321,0.000000000000000)   (-102.412733506007015,56.211951804637145)     (-3.620740810698451,46.501997388423746)     (47.955360314595900,70.703158046852138)
 (-115.356640843088485,306.662459966264350)   (116.797668995468854,-15.073792683018313)   (-80.836398667743595,201.030325429595365)  (-102.412733506007015,-56.211951804637145)       (6.216561481546231,0.000000000000000)   (-69.694041191395243,-18.199436260643100)   (159.411228238923741,-56.495830670686850)
 (-96.624542510458127,-152.123011820678869)    (-16.418397000173915,60.989605495456480)  (-233.686933405689189,-29.572469118915652)    (-3.620740810698451,-46.501997388423746)    (-69.694041191395243,18.199436260643100)      (59.504943424188241,0.000000000000000)    (-19.425785753186652,78.996883173793464)
 (-135.777681770743158,285.851545329043347)  (-50.927813346751456,-119.451345360279831)  (-224.896565742213596,-31.040831741373317)    (47.955360314595900,-70.703158046852138)    (159.411228238923741,56.495830670686850)   (-19.425785753186652,-78.996883173793464)    (-182.965153556158100,0.000000000000000)
